file,thinking,method,instance_id,question,gold_sql,predicted_sql,fixed_sql,execution_match,error_message,error_category
eval_wikisql_non-thinking_zero_none.json,non-thinking_zero,none,wikisql_train_6698,What year was Teresa Wright nominated best supporting actress?,SELECT Year (Ceremony) FROM table WHERE Actor/Actress = 'Teresa Wright' AND Category = 'Best Supporting Actress',SELECT Year FROM table WHERE Actor/Actress = 'Teresa Wright' AND Result = 'best supporting actress',SELECT Year FROM [table_1_18638067_1] WHERE col1 = 'Teresa Wright' COLLATE NOCASE AND col4 = 'best supporting actress' COLLATE NOCASE,False,no such column: Year,bad column reference
eval_wikisql_non-thinking_zero_none.json,non-thinking_zero,none,wikisql_train_18231,What is the lowest population of alessandria where the altitude is less than 197 and density is less than 461.8?,SELECT MIN(Population) FROM table WHERE Altitude (mslm) < 197 AND City = 'alessandria' AND Density (inhabitants/km 2 ) < 461.8,SELECT * FROM table WHERE Rank = '' AND City = '' AND Population < 197 AND Density < 461.8,SELECT * FROM [table_2_1448810_1] WHERE col0 = '' COLLATE NOCASE AND col1 = '' COLLATE NOCASE AND col2 < 197 AND Density < 461.8,False,no such column: Density,bad column reference
eval_wikisql_non-thinking_zero_none.json,non-thinking_zero,none,wikisql_train_33118,"What is the smallest area that has a Population Density of 3,216 and a Population larger than 16,650,000?","SELECT MIN(Area (kmÂ²)) FROM table WHERE Population Density (People/kmÂ²) = '3,216' AND Population > '16,650,000'",SELECT * FROM table WHERE Population > 16650000 AND Population Density = 3216,SELECT * FROM [table_2_16478687_2] WHERE col3 > 16650000 AND col3 Density = 3216,False,"near ""Density"": syntax error",syntax error
eval_wikisql_non-thinking_zero_none.json,non-thinking_zero,none,wikisql_train_38618,"What is the most wins with a rank of 5 and less than $1,537,571 in earnings?","SELECT MAX(Wins) FROM table WHERE Rank = 5 AND Earnings ( $ ) > '1,537,571'",SELECT * FROM table WHERE Rank = 5 AND Earnings ($ ) < 1537571,SELECT * FROM [table_2_11602885_3] WHERE col0 = 5 AND Earnings ($ ) < 1537571,False,"unrecognized token: ""$""",unrecognized token
eval_wikisql_non-thinking_zero_none.json,non-thinking_zero,none,wikisql_train_42590,What is the NBA Draft for the School Bishop O'Connell High School?,SELECT NBA Draft FROM table WHERE School = 'bishop o'connell high school',"SELECT Player, Height, School, Hometown, College, NBA Draft FROM table WHERE School = 'Bishop O'Connell High School","SELECT col0, col1, col2, col3, col4, col5 FROM [table_2_11677760_28] WHERE col2 = 'Bishop O' COLLATE NOCASEConnell High col2",False,"near ""High"": syntax error",syntax error
eval_wikisql_non-thinking_zero_none.json,non-thinking_zero,none,wikisql_train_44348,"What is the smallest Pick with Overall larger than 17, a Player name of dave adams category:articles with hcards, and a Year larger than 1963?",SELECT MIN(Pick) FROM table WHERE Overall > 17 AND Player name = 'dave adams category:articles with hcards' AND Year > 1963,SELECT * FROM table WHERE Year > 1963 AND Player name = 'Dave Adams' AND Overall > 17 AND AFL team = 'Hcards' AND Position = 'Articles' AND Pick = ?,SELECT * FROM [table_2_18371034_3] WHERE col0 > 1963 AND col4 = 'Dave Adams' COLLATE NOCASE AND col3 > 17 AND col6 = 'Hcards' COLLATE NOCASE AND col5 = 'Articles' COLLATE NOCASE AND col2 = ?,False,"Incorrect number of bindings supplied. The current statement uses 1, and there are 0 supplied.",other parse failure
eval_wikisql_non-thinking_zero_none.json,non-thinking_zero,none,wikisql_train_46925,What's the lowest number of total passengers (millions) for an annual entry/exit of 36.609?,SELECT MIN(Total Passengers (millions) 2011â€“12) FROM table WHERE Annual entry/exit (millions) 2011â€“12 = 36.609,SELECT MIN(Total Passengers (millions)) FROM table WHERE Annual entry/exit (millions) = 36.609,SELECT MIN(Total Passengers (millions)) FROM [table_2_18118221_1] WHERE Annual entry/exit (millions) = 36.609,False,"near ""Passengers"": syntax error",syntax error
eval_wikisql_non-thinking_zero_outlines.json,non-thinking_zero,outlines,wikisql_train_1639,What's the total number of episodes with production code 2T6705?,SELECT COUNT(Title) FROM table WHERE Production code = '2T6705',SELECT SUM(U_S_VIEWERS) FROM table WHERE Production code = '2T6705',SELECT SUM(U_S_VIEWERS) FROM [table_1_12159115_2] WHERE col5 = '2T6705' COLLATE NOCASE,False,no such column: U_S_VIEWERS,bad column reference
eval_wikisql_non-thinking_zero_outlines.json,non-thinking_zero,outlines,wikisql_train_6140,In what parish is the sub-parish fortun? ,SELECT Parish (Prestegjeld) FROM table WHERE Sub-Parish (Sogn) = 'Fortun',SELECT Parish FROM table WHERE Sub_Parish = 'fortun',SELECT Parish FROM [table_1_178398_1] WHERE Sub_Parish = 'fortun' COLLATE NOCASE,False,no such column: Parish,bad column reference
eval_wikisql_non-thinking_zero_outlines.json,non-thinking_zero,outlines,wikisql_train_6698,What year was Teresa Wright nominated best supporting actress?,SELECT Year (Ceremony) FROM table WHERE Actor/Actress = 'Teresa Wright' AND Category = 'Best Supporting Actress',SELECT Year FROM table WHERE Actor_1 = 'Teresa Wright' AND Result = 'Best Supporting Actress',SELECT Year FROM [table_1_18638067_1] WHERE Actor_1 = 'Teresa Wright' COLLATE NOCASE AND col4 = 'Best Supporting Actress' COLLATE NOCASE,False,no such column: Year,bad column reference
eval_wikisql_non-thinking_zero_outlines.json,non-thinking_zero,outlines,wikisql_train_14446,How many people wrote the episode that had 7.26 million u.s. viewers?,SELECT COUNT(Written by) FROM table WHERE U.S. viewers (million) = '7.26',SELECT COUNT(*) FROM table WHERE U_S_VIEWERS_MILLION = '7.26',SELECT COUNT(*) FROM [table_1_28037619_2] WHERE U_S_VIEWERS_MILLION = '7.26' COLLATE NOCASE,False,no such column: U_S_VIEWERS_MILLION,bad column reference
eval_wikisql_non-thinking_zero_outlines.json,non-thinking_zero,outlines,wikisql_train_15247,When 318676 is the population of 2010 and 1st class is the income classification what is the area in kilometers squared?,SELECT Area (kmÂ²) FROM table WHERE Income Classification = '1st Class' AND Population (2010) = 318676,SELECT Area FROM table WHERE City = 'City' AND Population = 318676,SELECT Area FROM [table_1_29289372_1] WHERE City = 'City' COLLATE NOCASE AND Population = 318676,False,no such column: Area,bad column reference
eval_wikisql_non-thinking_zero_outlines.json,non-thinking_zero,outlines,wikisql_train_18231,What is the lowest population of alessandria where the altitude is less than 197 and density is less than 461.8?,SELECT MIN(Population) FROM table WHERE Altitude (mslm) < 197 AND City = 'alessandria' AND Density (inhabitants/km 2 ) < 461.8,SELECT MIN(Population) FROM table WHERE City = 'Alessandria' AND Altitude < 197,SELECT MIN(col2) FROM [table_2_1448810_1] WHERE col1 = 'Alessandria' COLLATE NOCASE AND Altitude < 197,False,no such column: Altitude,bad column reference
eval_wikisql_non-thinking_zero_outlines.json,non-thinking_zero,outlines,wikisql_train_33118,"What is the smallest area that has a Population Density of 3,216 and a Population larger than 16,650,000?","SELECT MIN(Area (kmÂ²)) FROM table WHERE Population Density (People/kmÂ²) = '3,216' AND Population > '16,650,000'",SELECT * FROM table WHERE Population > 16650000 AND Population Density = 3216,SELECT * FROM [table_2_16478687_2] WHERE col3 > 16650000 AND col3 Density = 3216,False,"near ""Density"": syntax error",syntax error
eval_wikisql_non-thinking_zero_outlines.json,non-thinking_zero,outlines,wikisql_train_38618,"What is the most wins with a rank of 5 and less than $1,537,571 in earnings?","SELECT MAX(Wins) FROM table WHERE Rank = 5 AND Earnings ( $ ) > '1,537,571'",SELECT * FROM table WHERE Rank = 5 AND Earnings < 1537571,SELECT * FROM [table_2_11602885_3] WHERE col0 = 5 AND Earnings < 1537571,False,no such column: Earnings,bad column reference
eval_wikisql_non-thinking_zero_outlines.json,non-thinking_zero,outlines,wikisql_train_45962,"What is the total of Matches with Goals of 18, and an Average larger than 0.55?",SELECT SUM(Matches) FROM table WHERE Goals = 18 AND Average > 0.55,SELECT Goals SUM MATCHES FROM table WHERE Average > 055 AND Goals = 18,SELECT col1 SUM MATCHES FROM [table_2_18160020_4] WHERE col3 > 055 AND col1 = 18,False,"near ""MATCHES"": syntax error",syntax error
eval_wikisql_non-thinking_zero_outlines.json,non-thinking_zero,outlines,wikisql_train_46925,What's the lowest number of total passengers (millions) for an annual entry/exit of 36.609?,SELECT MIN(Total Passengers (millions) 2011â€“12) FROM table WHERE Annual entry/exit (millions) 2011â€“12 = 36.609,SELECT MIN(Annual Passengers) FROM table WHERE Annual entry or exit = 36609,SELECT MIN(Annual Passengers) FROM [table_2_18118221_1] WHERE Annual entry or exit = 36609,False,"near ""Passengers"": syntax error",syntax error
eval_wikisql_non-thinking_zero_outlines.json,non-thinking_zero,outlines,wikisql_train_48598,What team was in 1st plate in a year later than 1956?,SELECT 1st Place Team FROM table WHERE Year > 1956,SELECT YEAR FROM table WHERE YEAR > 1956 AND YEAR IN 1956 GROUP BY YEAR ORDER BY YEAR ASC != 1956,SELECT YEAR FROM [table_2_18618672_2] WHERE YEAR > 1956 AND YEAR IN 1956 GROUP BY YEAR ORDER BY YEAR ASC != 1956,False,"near ""1956"": syntax error",syntax error
eval_wikisql_non-thinking_zero_outlines.json,non-thinking_zero,outlines,wikisql_train_49729,Which Fencing Victories (pts) has a Total of 5640?,SELECT Fencing Victories (pts) FROM table WHERE Total = 5640,SELECT Fencing Victories FROM table WHERE Total = 5640,SELECT Fencing Victories FROM [table_2_18830959_2] WHERE col6 = 5640,False,no such column: Fencing,bad column reference
eval_wikisql_non-thinking_zero_outlines.json,non-thinking_zero,outlines,wikisql_train_52810,"Which Venue has an amount of Tickets Sold/ Available of 4,700 / 4,700 (100%)?","SELECT Venue FROM table WHERE Tickets Sold / Available = '4,700 / 4,700 (100%)'","SELECT Venue FROM table WHERE Tickets Sold Available = '4,700' AND Tickets Sold Available = '4,700'","SELECT col0 FROM [table_2_12557476_2] WHERE Tickets Sold Available = '4,700' COLLATE NOCASE AND Tickets Sold Available = '4,700' COLLATE NOCASE",False,"near ""Sold"": syntax error",syntax error
eval_wikisql_non-thinking_zero_outlines.json,non-thinking_zero,outlines,wikisql_train_53046,Which nation had a battlecruiser with an estimate of 513?,SELECT Nat. FROM table WHERE Ship type = 'battlecruiser' AND Estimate = '513',SELECT Nation FROM table WHERE Estimate = '513',SELECT Nation FROM [table_2_13046272_3] WHERE col0 = '513' COLLATE NOCASE,False,no such column: Nation,bad column reference
eval_wikisql_non-thinking_zero_xgrammar.json,non-thinking_zero,xgrammar,wikisql_train_5697,What was the W-L record when HIgh Points was andre miller (30)?,SELECT Record FROM table WHERE High points = 'Andre Miller (30)',,,False,incomplete input,empty output
eval_wikisql_non-thinking_zero_xgrammar.json,non-thinking_zero,xgrammar,wikisql_train_18024,Which Region has a Date of early september 1999?,SELECT Region FROM table WHERE Date = 'early september 1999',SELECT Region FROM table WHERE Date = 'September 1999' AND Date >= 'September 1999' AND Date <= 'September 1999' AND Date = 'September 1999' AND Region = 'Region' AND Format = 'Format' AND Catalog = 'Catalog' AND Label = 'Label' AND Date = 'September 1999' AND Region = 'Region' AND Format = 'Format' AND Catalog = 'Catalog,SELECT col2 FROM [table_2_14871719_1] WHERE col0 = 'September 1999' COLLATE NOCASE AND col0 >= 'September 1999' COLLATE NOCASE AND col0 <= 'September 1999' COLLATE NOCASE AND col0 = 'September 1999' COLLATE NOCASE AND col2 = 'col2' COLLATE NOCASE AND col3 = 'col3' COLLATE NOCASE AND col4 = 'col4' COLLATE NOCASE AND col1 = 'col1' COLLATE NOCASE AND col0 = 'September 1999' COLLATE NOCASE AND col2 = 'col2' COLLATE NOCASE AND col3 = 'col3' COLLATE NOCASE AND col4 = 'col4,False,"unrecognized token: ""'col4""",runaway repeated conditions / overgeneration
eval_wikisql_non-thinking_zero_xgrammar.json,non-thinking_zero,xgrammar,wikisql_train_35741,What's the lowest pick for a defensive back at Drake?,SELECT MIN(Pick) FROM table WHERE Position = 'defensive back' AND School = 'drake',SELECT * FROM table WHERE Player = 'Defensive back' AND School = 'Drake' AND Position = 'Back' AND Round = 'Lowest' AND Pick = 'Lowest' AND Round = 'Lowest' AND Pick = 'Lowest' AND Round = 'Lowest' AND Pick = 'Lowest' AND Round = 'Lowest' AND Pick = 'Lowest' AND Round = 'Lowest' AND Pick = 'Lowest' AND Round = 'Low,SELECT * FROM [table_2_11406866_1] WHERE col2 = 'Defensive back' COLLATE NOCASE AND col4 = 'Drake' COLLATE NOCASE AND col3 = 'Back' COLLATE NOCASE AND col1 = 'Lowest' COLLATE NOCASE AND col0 = 'Lowest' COLLATE NOCASE AND col1 = 'Lowest' COLLATE NOCASE AND col0 = 'Lowest' COLLATE NOCASE AND col1 = 'Lowest' COLLATE NOCASE AND col0 = 'Lowest' COLLATE NOCASE AND col1 = 'Lowest' COLLATE NOCASE AND col0 = 'Lowest' COLLATE NOCASE AND col1 = 'Lowest' COLLATE NOCASE AND col0 = 'Lowest' COLLATE NOCASE AND col1 = 'Low,False,"unrecognized token: ""'Low""",runaway repeated conditions / overgeneration
eval_wikisql_non-thinking_zero_xgrammar.json,non-thinking_zero,xgrammar,wikisql_train_36781,What Captain has Lost 13?,SELECT Captain FROM table WHERE Lost = 13,SELECT Captain FROM table WHERE Played = 13 AND Lost = 13 AND Competition = '13' AND Coach = '13' AND Captain = '13' AND Position = '13' AND Main Article = '13' AND Coach = '13' AND Captain = '13' AND Position = '13' AND Main Article = '13' AND Coach = '13' AND Captain = '13' AND Position = '1,SELECT col6 FROM [table_2_1095011_1] WHERE col1 = 13 AND col3 = 13 AND col0 = '13' COLLATE NOCASE AND col5 = '13' COLLATE NOCASE AND col6 = '13' COLLATE NOCASE AND col4 = '13' COLLATE NOCASE AND col7 = '13' COLLATE NOCASE AND col5 = '13' COLLATE NOCASE AND col6 = '13' COLLATE NOCASE AND col4 = '13' COLLATE NOCASE AND col7 = '13' COLLATE NOCASE AND col5 = '13' COLLATE NOCASE AND col6 = '13' COLLATE NOCASE AND col4 = '1,False,"unrecognized token: ""'1""",runaway repeated conditions / overgeneration
eval_wikisql_non-thinking_zero_xgrammar.json,non-thinking_zero,xgrammar,wikisql_train_48540,What period has 0.25% as the other mozilla?,SELECT Period FROM table WHERE Other Mozilla = '0.25%',SELECT Period FROM table WHERE Internet Explorer = 'Other Mozilla' AND Chrome = '0.25%' AND Firefox = '0.25%' AND Safari = '0.25%' AND Opera = '0.25%?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*,SELECT col0 FROM [table_2_1876262_4] WHERE col1 = 'col6' COLLATE NOCASE AND col2 = '0.25%' COLLATE NOCASE AND col3 = '0.25%' COLLATE NOCASE AND col4 = '0.25%' COLLATE NOCASE AND col5 = '0.25%?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*,False,"unrecognized token: ""'0.25%?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*""",unbalanced quotes
eval_wikisql_thinking_zero_LMFE.json,thinking_zero,LMFE,wikisql_train_1952,What is tuesday day three when thursday day five is kamis?,SELECT Tuesday Day Three FROM table WHERE Thursday Day Five = 'Kamis',SELECT * FROM table WHERE Day = 'Tuesday Day Three' AND Thursday Day Five = 'Kamis',SELECT * FROM [table_1_1277350_7] WHERE Day = 'col3' COLLATE NOCASE AND col5 = 'Kamis' COLLATE NOCASE,False,no such column: Day,bad column reference
eval_wikisql_thinking_zero_LMFE.json,thinking_zero,LMFE,wikisql_train_2082,What is the number of played when points against 645?,SELECT COUNT(Played) FROM table WHERE Pts Agst = 645,SELECT PLAYED FROM table WHERE Pts Agst = 645,SELECT PLAYED FROM [table_1_13018116_1] WHERE col7 = 645,False,no such column: PLAYED,bad column reference
eval_wikisql_thinking_zero_LMFE.json,thinking_zero,LMFE,wikisql_train_6078,Who was the radio commentator when the final television commentator was John Dunn? ,SELECT Radio commentator FROM table WHERE Final television commentator = 'John Dunn',SELECT * FROM table WHERE Year = 2019 AND Radio commentator = 'John Dunn',SELECT * FROM [table_1_17766232_7] WHERE Year = 2019 AND col2 = 'John Dunn' COLLATE NOCASE,False,no such column: Year,bad column reference
eval_wikisql_thinking_zero_LMFE.json,thinking_zero,LMFE,wikisql_train_6140,In what parish is the sub-parish fortun? ,SELECT Parish (Prestegjeld) FROM table WHERE Sub-Parish (Sogn) = 'Fortun',SELECT * FROM table WHERE Parish = 'Fortun' AND Sub_Parish = 'Fortun',SELECT * FROM [table_1_178398_1] WHERE Parish = 'Fortun' COLLATE NOCASE AND Sub_Parish = 'Fortun' COLLATE NOCASE,False,no such column: Parish,bad column reference
eval_wikisql_thinking_zero_LMFE.json,thinking_zero,LMFE,wikisql_train_6698,What year was Teresa Wright nominated best supporting actress?,SELECT Year (Ceremony) FROM table WHERE Actor/Actress = 'Teresa Wright' AND Category = 'Best Supporting Actress',SELECT * FROM table WHERE Year = '2010' AND Actor_1 = 'Teresa Wright',SELECT * FROM [table_1_18638067_1] WHERE Year = '2010' COLLATE NOCASE AND Actor_1 = 'Teresa Wright' COLLATE NOCASE,False,no such column: Year,bad column reference
eval_wikisql_thinking_zero_LMFE.json,thinking_zero,LMFE,wikisql_train_14446,How many people wrote the episode that had 7.26 million u.s. viewers?,SELECT COUNT(Written by) FROM table WHERE U.S. viewers (million) = '7.26',SELECT COUNT(*) FROM table WHERE U_S_VIEWERS_MILLION = '7.26' AND Directed by = 'John Doe',SELECT COUNT(*) FROM [table_1_28037619_2] WHERE U_S_VIEWERS_MILLION = '7.26' COLLATE NOCASE AND col2 = 'John Doe' COLLATE NOCASE,False,no such column: U_S_VIEWERS_MILLION,bad column reference
eval_wikisql_thinking_zero_LMFE.json,thinking_zero,LMFE,wikisql_train_15247,When 318676 is the population of 2010 and 1st class is the income classification what is the area in kilometers squared?,SELECT Area (kmÂ²) FROM table WHERE Income Classification = '1st Class' AND Population (2010) = 318676,SELECT Area FROM table WHERE City = 'City' AND Population = 318676.000000000000000000000000000000000000000000000000000000000000000000000000000000,SELECT Area FROM [table_1_29289372_1] WHERE City = 'City' COLLATE NOCASE AND Population = 318676.000000000000000000000000000000000000000000000000000000000000000000000000000000,False,no such column: Area,bad column reference
eval_wikisql_thinking_zero_LMFE.json,thinking_zero,LMFE,wikisql_train_16049,What MLS team is affiliated with yale university?,SELECT MLS Team FROM table WHERE Affiliation = 'yale university',SELECT MLS TEAM FROM table WHERE Affiliation = 'Yale University' AND Pick = 100000000000000000000000000000000000000000000000000000000000000000000000000000000,SELECT MLS TEAM FROM [table_2_1004125_4] WHERE col4 = 'Yale University' COLLATE NOCASE AND Pick = 100000000000000000000000000000000000000000000000000000000000000000000000000000000,False,no such column: MLS,bad column reference
eval_wikisql_thinking_zero_LMFE.json,thinking_zero,LMFE,wikisql_train_38618,"What is the most wins with a rank of 5 and less than $1,537,571 in earnings?","SELECT MAX(Wins) FROM table WHERE Rank = 5 AND Earnings ( $ ) > '1,537,571'",SELECT * FROM table WHERE Rank = 5 AND Earnings < 1537571,SELECT * FROM [table_2_11602885_3] WHERE col0 = 5 AND Earnings < 1537571,False,no such column: Earnings,bad column reference
eval_wikisql_thinking_zero_LMFE.json,thinking_zero,LMFE,wikisql_train_46925,What's the lowest number of total passengers (millions) for an annual entry/exit of 36.609?,SELECT MIN(Total Passengers (millions) 2011â€“12) FROM table WHERE Annual entry/exit (millions) 2011â€“12 = 36.609,SELECT MIN(Annual entry) FROM table WHERE Annual entry = 36.609 AND Location = 'Southampton',SELECT MIN(Annual entry) FROM [table_2_18118221_1] WHERE Annual entry = 36.609 AND col5 = 'Southampton' COLLATE NOCASE,False,"near ""entry"": syntax error",syntax error
eval_wikisql_thinking_zero_LMFE.json,thinking_zero,LMFE,wikisql_train_48598,What team was in 1st plate in a year later than 1956?,SELECT 1st Place Team FROM table WHERE Year > 1956,SELECT YEAR FROM table WHERE 1st Place Team LIKE 1956 AND 2nd Place Team LIKE 1956 AND 3rd Place Team LIKE 1956 AND 4th Place Team LIKE 1956 AND Year LIKE 1957 AND Year LIKE 1957 AND Year,SELECT YEAR FROM [table_2_18618672_2] WHERE col1 LIKE 1956 AND col2 LIKE 1956 AND col3 LIKE 1956 AND col4 LIKE 1956 AND col0 LIKE 1957 AND col0 LIKE 1957 AND col0,False,no such column: YEAR,bad column reference
eval_wikisql_thinking_zero_LMFE.json,thinking_zero,LMFE,wikisql_train_49729,Which Fencing Victories (pts) has a Total of 5640?,SELECT Fencing Victories (pts) FROM table WHERE Total = 5640,SELECT Fencing Victories FROM table WHERE Total = 5640,SELECT Fencing Victories FROM [table_2_18830959_2] WHERE col6 = 5640,False,no such column: Fencing,bad column reference
eval_wikisql_thinking_zero_LMFE.json,thinking_zero,LMFE,wikisql_train_52810,"Which Venue has an amount of Tickets Sold/ Available of 4,700 / 4,700 (100%)?","SELECT Venue FROM table WHERE Tickets Sold / Available = '4,700 / 4,700 (100%)'","SELECT Venue FROM table WHERE Tickets Sold Available = '4,700' AND Gross Revenue 1979 = '4,700'","SELECT col0 FROM [table_2_12557476_2] WHERE Tickets Sold Available = '4,700' COLLATE NOCASE AND Gross Revenue 1979 = '4,700' COLLATE NOCASE",False,"near ""Sold"": syntax error",syntax error
eval_wikisql_thinking_zero_none.json,thinking_zero,none,wikisql_train_2082,What is the number of played when points against 645?,SELECT COUNT(Played) FROM table WHERE Pts Agst = 645,SELECT Played FROM table WHERE Pts Against = 645,SELECT col2 FROM [table_1_13018116_1] WHERE Pts Against = 645,False,"near ""Against"": syntax error",syntax error
